날짜,코스,거리km,대회,만족도,한줄평,운동화,사진
2026-02-20,노들역 출발 코스,8.10,,,,shoe-01,
2026-03-21,일산 호수공원,8.33,,,,shoe-01,
2026-04-05,더 레이스 서울,10.26,대회,5,서울 도심인 청계천을 달리는 경험은 처음이었는데 즐거웠다.,shoe-02,
2026-05-09,보라매공원 — 도림천 — 신도림,5.10,,,,shoe-02,
2026-05-16,성북-중랑-한강 코스,13.23,,,,shoe-02,
2026-05-30,보라매공원 — 도림천 — 신도림,7.13,,,,shoe-02,
2026-06-03,보라매공원 — 도림천 — 신도림,11.92,,,,shoe-03,
2026-07-24,성북천 이지런,1.88,,,,shoe-03,
2026-07-26,청계천 상류,3.53,,,,shoe-03,
2026-08-01,동네에서 광화문까지,7.40,,,,,
2026-08-15,성북-중랑-한강 코스,13.18,,,,shoe-03,
2026-08-23,동네에서 광화문까지,8.15,,,,,
